request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_103,21711.66,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 125,500 minimum balance protected over the next 90 days."
request_104,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 24,700 minimum balance protected over the next 90 days."
request_105,53500.0,affordable_with_plan,installments,2026-06-08:53500,2026-06-08,none,"Use 1 installments of INR 53,500.00, starting 2026-06-08. This leaves at least INR 73,900 available."
request_106,539.84,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,1790.26,not_affordable,not_recommended,none,2025-07-15,none,"Do not proceed with this expense. None of the available options keeps the EUR 1,600 minimum balance protected over the next 90 days."
request_108,3651.3,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 24,100 minimum balance protected over the next 90 days."
request_109,912.56,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:22352,2025-08-06,none,"Use 1 installments of ZAR 22,352.00, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_with_plan,installments,2026-04-03:16625000,2026-04-03,none,"Use 1 installments of IDR 16,625,000.00, starting 2026-04-03. This leaves at least IDR 23,022,800 available."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 82,300 minimum balance protected over the next 90 days."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300.00 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500.00 in full on 2024-10-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,27680.16,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 80,300 minimum balance protected over the next 90 days."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880.00 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,464.49,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the EUR 600 minimum balance protected over the next 90 days.
request_119,70146.78,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 2025-05-18. This leaves at least INR 151,200 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000.00 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:20558000,2025-08-05,none,"Use 1 installments of IDR 20,558,000.00, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000.00 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 11,300 minimum balance protected over the next 90 days."
request_126,159600.0,affordable_with_plan,installments,2026-07-03:159600,2026-07-03,none,"Use 1 installments of INR 159,600.00, starting 2026-07-03. This leaves at least INR 129,700 available."
request_127,17281.55,affordable_later,wait,2024-09-15:23980,2024-09-15,none,"Pay ZAR 23,980.00 in full on 2024-09-15. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168.00 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,197.24,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the USD 800 minimum balance protected over the next 90 days.
request_130,663.31,affordable_later,wait,2025-01-15:1978.80,2025-01-15,none,"Pay USD 1,978.80 in full on 2025-01-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1382.16,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with this expense. None of the available options keeps the IDR 9,986,200 minimum balance protected over the next 90 days."
request_134,7343943.67,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Pay IDR 21,831,000.00 in full on 2025-08-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_with_plan,installments,2026-07-06:304.80,2026-07-06,none,"Use 1 installments of USD 304.80, starting 2026-07-06. This leaves at least USD 500 available."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,41896.96,affordable_later,wait,2025-11-15:80100,2025-11-15,none,"Pay INR 80,100.00 in full on 2025-11-15. Paying earlier would take the balance below the INR 71,800 minimum."
request_138,955.53,affordable_with_plan,partial_payment,2026-04-07:955.53|2026-04-15:301.41,2026-04-15,none,Pay EUR 955.53 today and the remaining balance on 2026-04-15. This completes the full request safely by the deadline.
request_139,1645.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1,500 available."
request_140,4591.4,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 21,600 minimum balance protected over the next 90 days."
request_141,37598.84,not_affordable,not_recommended,none,2026-02-15,none,"Do not proceed with this expense. None of the available options keeps the INR 67,300 minimum balance protected over the next 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,4517.2,affordable_later,wait,2025-05-15:12584,2025-05-15,none,"Pay ZAR 12,584.00 in full on 2025-05-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27098.97,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 155,400 minimum balance protected over the next 90 days."
request_146,27847.22,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 108,600 minimum balance protected over the next 90 days."
request_147,622.38,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available."
request_148,10459.85,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 20,000 available."
request_149,27842.7,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,438.19,not_affordable,not_recommended,none,2026-02-15,none,Do not proceed with this expense. None of the available options keeps the EUR 700 minimum balance protected over the next 90 days.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000.00 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,12363.42,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-15,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900 available."
request_153,349.9,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the USD 1,400 minimum balance protected over the next 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:1625.80,2024-12-04,none,"Use 1 installments of EUR 1,625.80, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500.00 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,10841.2,affordable_later,wait,2026-05-15:43076,2026-05-15,none,"Pay ZAR 43,076.00 in full on 2026-05-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,6968905.82,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Pay IDR 23,503,000.00 in full on 2024-04-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:242600,2025-08-07,none,"Use 1 installments of INR 242,600.00, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398.00 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,1685580.37,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 23,010,400 minimum balance protected over the next 90 days."
request_162,4603254.21,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 24,161,100 minimum balance protected over the next 90 days."
request_163,7710344.19,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 26,728,700 minimum balance protected over the next 90 days."
request_164,27018000.0,affordable_with_plan,installments,2025-02-04:27018000,2025-02-04,none,"Use 1 installments of IDR 27,018,000.00, starting 2025-02-04. This leaves at least IDR 29,550,500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600.00 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:2907.60,2024-12-03,none,"Use 1 installments of USD 2,907.60, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_with_plan,installments,2025-05-05:43802,2025-05-05,none,"Use 1 installments of ZAR 43,802.00, starting 2025-05-05. This leaves at least ZAR 31,200 available."
request_168,49380.0,not_affordable,not_recommended,none,2026-01-07,none,"Do not proceed with this expense. None of the available options keeps the INR 114,400 minimum balance protected over the next 90 days."
request_169,21911.37,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the ZAR 18,700 minimum balance protected over the next 90 days."
request_170,34633492.64,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480.00, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,114.07,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the EUR 500 minimum balance protected over the next 90 days.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:10200,2024-06-05,none,"Use 1 installments of ZAR 10,200.00, starting 2024-06-05. This leaves at least ZAR 27,200 available."
request_173,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 79,100 minimum balance protected over the next 90 days."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:1146.20,2026-04-04,none,"Use 1 installments of EUR 1,146.20, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,257.23,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the EUR 600 minimum balance protected over the next 90 days.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:2938.10,2024-12-07,none,"Use 1 installments of EUR 2,938.10, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,14489069.84,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000.00 in full on 2025-07-15. Paying earlier would take the balance below the IDR 41,430,800 minimum."
request_180,66500.0,affordable_with_plan,installments,2026-07-06:66500,2026-07-06,none,"Use 1 installments of INR 66,500.00, starting 2026-07-06. This leaves at least INR 37,300 available."
request_181,839.0,not_affordable,not_recommended,none,2024-05-15,none,"Do not proceed with this expense. None of the available options keeps the USD 2,000 minimum balance protected over the next 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the IDR 11,878,300 minimum balance protected over the next 90 days."
request_184,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with this expense. None of the available options keeps the INR 110,800 minimum balance protected over the next 90 days."
request_185,554.31,affordable_later,wait,2025-11-15:1257.30,2025-11-15,none,"Pay EUR 1,257.30 in full on 2025-11-15. Paying earlier would take the balance below the EUR 1,300 minimum."
request_186,11819.32,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554.00 in full on 2026-03-15. Paying earlier would take the balance below the ZAR 22,000 minimum."
request_187,45576.87,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500.00 in full on 2024-11-15. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,238.3,not_affordable,not_recommended,none,,none,Do not proceed with this expense. None of the available options keeps the EUR 900 minimum balance protected over the next 90 days.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,910.67,affordable_later,wait,2025-01-15:2557.50,2025-01-15,none,"Pay EUR 2,557.50 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_with_plan,installments,2025-05-03:664.40,2025-05-03,none,"Use 1 installments of EUR 664.40, starting 2025-05-03. This leaves at least EUR 500 available."
